Head,Tail,True_Relation,Model_Output
trade name,metharbital,_member_of_domain_usage,is-a
telephone,call,_verb_group,"""part-of"""
united kingdom of great britain and northern ireland,facer,_member_of_domain_region,"There is no direct lexical relation between ""united kingdom of great britain and northern ireland"" and ""facer"" in the context of WordNet."
suborder blattodea,roach,_member_meronym,is-a
rickettsiaceae,bacteria family,_hypernym,is-a
phylum entoprocta,phylum,_hypernym,is-a
position,point,_hypernym,part-of
drill,chuck,_has_part,part-of
breadfruit tree,fruit tree,_hypernym,is-a
take a breather,breathing time,_derivationally_related_form,similar-to
transmutation,shift,_derivationally_related_form,similar-to
sympathizer,communicator,_hypernym,is-a
ration,ration,_derivationally_related_form,is-a
  chromosome,chromatin granule,_has_part,part-of
surface,bounds,_hypernym,part-of
accentuation,stress,_hypernym,similar-to
lexicology,lexicologist,_derivationally_related_form,derived-from
precession,sensualness,_derivationally_related_form,"There is no direct lexical relation between ""precession"" and ""sensualness"" in the context of WordNet."
vanish,disappearance,_derivationally_related_form,derived-from
sophisticated,worldly,_also_see,similar-to
ski,travel,_hypernym,"""related-to"""
brasov,urban center,_instance_hypernym,is-a
mayhem,offense,_hypernym,is-a
equanimity,simmer down,_derivationally_related_form,similar-to
coelenterate family,family,_hypernym,is-a
sops,sop,_derivationally_related_form,derived-from
thunder,roar,_hypernym,similar-to
railroading,technology,_hypernym,is-a
grant,financial aid,_hypernym,is-a
time to come,time,_hypernym,is-a
major premiss,premiss,_hypernym,is-a
host,entertain,_hypernym,is-a
docket,law,_synset_domain_topic_of,part-of
refine,refinement,_derivationally_related_form,derived-from
kilobyte,word,_has_part,part-of
hostility,attack,_derivationally_related_form,is-a
roof,protective covering,_hypernym,is-a
slaughter,slaughter,_derivationally_related_form,synonym
play,play,_derivationally_related_form,similar-to
york,dynasty,_hypernym,is-a
systems software,programme,_hypernym,is-a
podcast,spread,_hypernym,related-to
family crocodylidae,tomistoma,_member_meronym,is-a
evidence,indication,_hypernym,similar-to
number,periodical,_hypernym,no direct relation
tinned goods,foodstuff,_hypernym,is-a
crosshatch,hatching,_derivationally_related_form,is-a
acronym,word form,_hypernym,derived-from
tragelaphus scriptus,harnessed antelope,_hypernym,is-a
praise,proclaim,_derivationally_related_form,similar-to
jam,jamming,_derivationally_related_form,derived-from
sterilize,disinfect,_hypernym,similar-to
syngnathidae,syngnathus,_member_meronym,is-a
insisting,demand,_hypernym,similar-to
subclass crossopterygii,lobefin,_member_meronym,is-a
north atlantic treaty organization,the netherlands,_member_meronym,"""member-of"""
tummy crunch,workout,_hypernym,part-of
ulmus carpinifolia,elm tree,_hypernym,is-a
field event,match,_hypernym,part-of
conduct,perform,_hypernym,similar-to
order casuarinales,plant order,_hypernym,is-a
get out,avoid,_hypernym,similar-to
watt second,erg,_has_part,is-a
tolerate,allowance,_derivationally_related_form,derived-from
wench,young woman,_hypernym,is-a
denote,announcer,_derivationally_related_form,derived-from
basketball court,court,_hypernym,part-of
monster,unusual person,_hypernym,similar-to
stylize,style,_derivationally_related_form,derived-from
trail,pursuit,_derivationally_related_form,is-a
forgetfulness,unmindful,_derivationally_related_form,similar-to
andante,piece of music,_hypernym,is-a
jelly fungus,fungus,_hypernym,is-a
breaking,change of integrity,_hypernym,is-a
zoology,zoologist,_derivationally_related_form,"""related-to"""
republic of india,old delhi,_has_part,part-of
devaluation,devalue,_derivationally_related_form,derived-from
hit,baseball game,_synset_domain_topic_of,part-of
pause,pause,_derivationally_related_form,similar-to
freight,transport,_hypernym,is-a
plus,quality,_hypernym,is-a
wive,wed,_hypernym,derived-from
coastal diving bird,seafowl,_hypernym,is-a
fred astaire,terpsichorean,_instance_hypernym,is-a
glade,universally,_derivationally_related_form,No direct relation
culpable negligence,law,_synset_domain_topic_of,is-a
set up,placement,_derivationally_related_form,part-of
healthy,wellness,_derivationally_related_form,similar-to
warping,distortion,_hypernym,similar-to
vanish,terminate,_hypernym,similar-to
carthage,carthaginian,_member_meronym,derived-from
woody guthrie,songwriter,_instance_hypernym,is-a
rome,lateran,_has_part,part-of
take,withdraw,_also_see,similar-to
indenture,indent,_derivationally_related_form,derived-from
pea family,wild pea,_member_meronym,is-a
read,reader,_derivationally_related_form,agent-of
vomiting,projection,_hypernym,derived-from
top,top,_derivationally_related_form,similar-to
ridge,ridge,_derivationally_related_form,synonym
wipeout,wipe out,_derivationally_related_form,derived-from
shanty,shelter,_hypernym,is-a
scribe,penmanship,_derivationally_related_form,related-to
propel,impulsion,_derivationally_related_form,derived-from
sorbus domestica,sorb apple,_has_part,is-a
strike,strike,_verb_group,similar-to
collar,neckband,_derivationally_related_form,similar-to
hexane,solvent,_hypernym,is-a
hellenic republic,sibyl,_member_of_domain_region,no direct lexical relation
stone,withdraw,_hypernym,"There is no direct lexical relation between ""stone"" and ""withdraw"" in the context of WordNet."
unbelievable,incredibleness,_derivationally_related_form,derived-from
weightiness,weight,_hypernym,derived-from
lay to rest,repose,_hypernym,similar-to
genus celtis,magnoliopsid genus,_hypernym,is-a
vinify,wine,_derivationally_related_form,derived-from
thomas the doubting apostle,apostle,_instance_hypernym,is-a
spoliation,strip,_derivationally_related_form,derived-from
dissolution,termination,_hypernym,is-a
tie,bracing,_hypernym,similar-to
magnitude,magnify,_derivationally_related_form,derived-from
iron age,time period,_instance_hypernym,is-a
wreath,flower arrangement,_hypernym,is-a
traction,rubbing,_hypernym,part-of
helsinki,national capital,_instance_hypernym,is-a
motor horn,hoot,_derivationally_related_form,derived-from
worrying,torment,_derivationally_related_form,similar-to
youngster,childhood,_derivationally_related_form,part-of
unequivocalness,unambiguous,_derivationally_related_form,similar-to
venturer,soul,_hypernym,is-a
deployment,readying,_hypernym,derived-from
defensive structure,structure,_hypernym,is-a
plunge,plunger,_derivationally_related_form,derived-from
monstrosity,variation,_hypernym,derived-from
skimmer,cookware,_hypernym,is-a
charge,charge,_derivationally_related_form,similar-to
dardic language,indo-aryan,_hypernym,is-a
cool down,iciness,_derivationally_related_form,similar-to
genus eleutherodactylus,robber frog,_member_meronym,is-a
muliebrity,feminine,_derivationally_related_form,similar-to
oxford grey,greyness,_hypernym,similar-to
trade name,nydrazid,_member_of_domain_usage,is-a
unreliableness,unreliable,_derivationally_related_form,derived-from
feature article,article,_hypernym,is-a
dress,decoration,_derivationally_related_form,"""part-of"""
rooter skunk,wood pussy,_hypernym,similar-to
honourableness,righteousness,_hypernym,similar-to
compass plant,composite plant,_hypernym,is-a
turn,section,_hypernym,part-of
mumble,vocalization,_hypernym,is-a
superclass agnatha,class,_hypernym,is-a
attach,attachment,_derivationally_related_form,derived-from
passing play,football play,_hypernym,is-a
family compositae,parthenium,_member_meronym,is-a
order malvales,family elaeocarpaceae,_member_meronym,part-of
saponify,chemistry,_synset_domain_topic_of,related-to
oesophagus,passageway,_hypernym,part-of
treponemataceae,bacteria family,_hypernym,is-a
united kingdom of great britain and northern ireland,resettlement,_member_of_domain_usage,part-of
matchmaker,mediator,_hypernym,similar-to
cask,vessel,_hypernym,is-a
plantagenet line,richard the lionheart,_member_meronym,is-a
totemist,soul,_hypernym,related-to
surgical instrument,medical instrument,_hypernym,is-a
unintelligent,stupidity,_derivationally_related_form,is-a
call,utter,_hypernym,is-a
epithelium,epithelial cell,_has_part,part-of
geology,geologist,_derivationally_related_form,"""related-to"""
asia,collection,_hypernym,part-of
fridge,refrigerator,_hypernym,similar-to
declaratory,declare,_derivationally_related_form,derived-from
kindle,lighting,_derivationally_related_form,causes
sarcosomataceae,ascomycetous fungus,_hypernym,is-a
brother,member,_hypernym,member-of
philosophizing,expounding,_hypernym,similar-to
prim up,tog,_hypernym,similar-to
ophioglossum,adder's tongue fern,_member_meronym,is-a
shape,shape,_derivationally_related_form,synonym
number,numeral,_derivationally_related_form,is-a
travesty,impersonation,_hypernym,similar-to
sociology,sociologist,_derivationally_related_form,is-a
train,drag,_hypernym,"There is no direct lexical relation between ""train"" and ""drag"" in the context of WordNet. However, if we consider possible indirect relationships, ""train"" and ""drag"" could be related through the concept of movement or transportation. In this"
orchestration,instrumentate,_derivationally_related_form,derived-from
star earthball,puffball,_hypernym,is-a
subdivision pinophytina,class,_hypernym,is-a
garden,horticulture,_derivationally_related_form,part-of
germany,aken,_has_part,part-of
salix,silver willow,_member_meronym,is-a
family certhiidae,tree creeper,_member_meronym,is-a
pullback,withdrawal,_hypernym,similar-to
mangifera,magnoliopsid genus,_hypernym,is-a
understand,understanding,_derivationally_related_form,derived-from
existence,existent,_derivationally_related_form,derived-from
open up,opener,_derivationally_related_form,derived-from
family coccidae,arthropod family,_hypernym,is-a
minniebush,shrub,_hypernym,is-a
swaggerer,tittup,_derivationally_related_form,similar-to
matte,matte up,_derivationally_related_form,derived-from
reprove,pick apart,_hypernym,similar-to
neritid gastropod,seasnail,_hypernym,is-a
switch,instrument of punishment,_hypernym,is-a
enlarge,increase,_hypernym,similar-to
rock oil,fossil fuel,_hypernym,is-a
suite,music,_synset_domain_topic_of,part-of
mouth,verbalize,_derivationally_related_form,derived-from
pink family,paronychia,_member_meronym,is-a
genus arenaria,caryophylloid dicot genus,_hypernym,is-a
