Head,Relation,Tail
/m/0584j4n,/people/person/profession,/m/089fss
/m/02x258x,/award/award_category/nominees./award/award_nomination/nominated_for,/m/019vhk
/m/01vvydl,/people/person/gender,/m/05zppz
/m/01r42_g,/people/person/places_lived./people/place_lived/location,/m/04n3l
/m/0dc_ms,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/09vw2b7
/m/04l19_,/people/person/nationality,/m/09c7w0
/m/06qd3,/location/country/form_of_government,/m/01fpfn
/m/03tcnt,/award/award_category/winners./award/award_honor/award_winner,/m/018x3
/m/0hr3c8y,/award/award_ceremony/awards_presented./award/award_honor/honored_for,/m/0gmcwlb
/m/06cp5,/music/genre/artists,/m/02k5sc
/m/07m9cm,/film/actor/film./film/performance/film,/m/0fphf3v
/m/09wnnb,/film/film/produced_by,/m/01t6b4
/m/0162b,/organization/organization_member/member_of./organization/organization_membership/organization,/m/07t65
/m/03gfvsz,/broadcast/content/artist,/m/01k_mc
/m/01hbq0,/people/person/nationality,/m/09c7w0
/m/02z2mr7,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/089g0h
/m/0xhtw,/music/genre/artists,/m/0274ck
/m/02zd460,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/01mkq
/m/0t6hk,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/024tv_,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/014mlp,/education/educational_degree/people_with_this_degree./education/education/institution,/m/052nd
/m/071t0,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,/m/0jgx
/m/032clf,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/02vzc
/m/05q7874,/film/film/language,/m/02h40lc
/m/01wbg84,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/024hbv
/m/057_yx,/film/actor/film./film/performance/film,/m/016z5x
/m/02r0csl,/award/award_category/nominees./award/award_nomination/nominated_for,/m/05567m
/m/013b6_,/people/ethnicity/people,/m/0jcx
/m/012d40,/award/award_nominee/award_nominations./award/award_nomination/award,/m/05zr6wv
/m/02dpl9,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/05qhw
/m/018gqj,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02gdjb
/m/057176,/film/actor/film./film/performance/film,/m/05p1qyh
/m/0k5g9,/film/film/costume_design_by,/m/02cqbx
/m/0kzy0,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj
/m/07lp1,/influence/influence_node/influenced_by,/m/0hcvy
/m/010h9y,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/02sch9,/people/ethnicity/people,/m/03fwln
/m/018vs,/music/performance_role/regular_performances./music/group_membership/group,/m/01kcms4
/m/03dpqd,/people/person/spouse_s./people/marriage/type_of_union,/m/01g63y
/m/0g768,/music/record_label/artist,/m/0h1nt
/m/027lfrs,/people/person/nationality,/m/03rk0
/m/0z4_0,/sports/sports_team_location/teams,/m/03y9p40
/m/02wgln,/film/actor/film./film/performance/film,/m/0symg
/m/0gj9tn5,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/02vzc
/m/050z2,/people/person/profession,/m/09jwl
/m/013807,/education/educational_institution/students_graduates./education/education/student,/m/04ktcgn
/m/077g7n,/government/legislative_session/members./government/government_position_held/district_represented,/m/05fjy
/m/0d9xq,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/07vyf,/education/university/fraternities_and_sororities,/m/035tlh
/m/0cbgl,/influence/influence_node/influenced_by,/m/01v_0b
