Head,Tail,True_Relation,Model_Raw_Output,Parsed_Prediction
/m/04jwjq,/m/02l7c8,/film/film/genre,5,5
/m/0ggbfwf,/m/02h40lc,/film/film/language,18,18
/m/03ftmg,/m/08mbj5d,/common/topic/webpage./common/webpage/category,59,59
/m/09146g,/m/04gzd,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
/m/010xjr,/m/01c92g,/award/award_nominee/award_nominations./award/award_nomination/award,10,10
/m/01k23t,/m/08mbj5d,/common/topic/webpage./common/webpage/category,59,59
/m/09txzv,/m/033smt,/film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
/m/060c4,/m/05g76,/business/job_title/people_with_this_title./business/employment_tenure/company,17,17
/m/0123qq,/m/0fdjb,/tv/tv_program/genre,136,136
/m/027r8p,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union,127,127
/m/02g839,/m/03mszl,/education/educational_institution/students_graduates./education/education/student,40,40
/m/02x2jl_,/m/02qfv5d,/film/film/genre,5,5
/m/085h1,/m/04wgh,/user/ktrueman/default_domain/international_organization/member_states,44,44
/m/0p9sw,/m/073hd1,/award/award_category/winners./award/award_honor/ceremony,81,81
/m/05kjlr,/m/05fg2,/award/award_category/winners./award/award_honor/award_winner,11,11
/m/02q56mk,/m/09zzb8,/film/film/other_crew./film/film_crew_gig/film_crew_role,112,112
/m/063_t,/m/02hrh1q,/people/person/profession,3,3
/m/0257__,/m/0gpjbt,/award/award_category/winners./award/award_honor/ceremony,81,81
/m/01vmv_,/m/016xk5,/education/educational_institution/students_graduates./education/education/student,40,40
/m/027ydt,/m/0325pb,/education/university/fraternities_and_sororities,102,102
/m/011j5x,/m/0l8g0,/music/genre/artists,/music/genre/artists,/music/genre/artists
/m/09v42sf,/m/0vgkd,/film/film/genre,/film/film/genre,/film/film/genre
/m/0k5g9,/m/02cqbx,/film/film/costume_design_by,/film/film/costume_design_by,/film/film/costume_design_by
/m/05zvj3m,/m/065zlr,/award/award_category/nominees./award/award_nomination/nominated_for,10,10
/m/04ztj,/m/0843m,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,72,72
/m/035w2k,/m/0ch6mp2,/film/film/other_crew./film/film_crew_gig/film_crew_role,112,112
/m/099tbz,/m/020bv3,/award/award_category/nominees./award/award_nomination/nominated_for,156,156
/m/02b9g4,/m/0ckd1,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type
/m/01kf5lf,/m/02kdv5l,/film/film/genre,/film/film/genre,/film/film/genre
/m/05kfs,/m/05f4m9q,/award/award_nominee/award_nominations./award/award_nomination/award,10,10
/m/0pmhf,/m/076zy_g,/film/actor/film./film/performance/film,83,83
/m/057bc6m,/m/01wb95,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,70,70
/m/05bt6j,/m/044mfr,/music/genre/artists,/music/genre/artists,/music/genre/artists
/m/0d060g,/m/01f1jy,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,49,49
/m/05cl8y,/m/02vxn,/business/business_operation/industry,/business/business_operation/industry,/business/business_operation/industry
/m/05mv4,/m/0fdys,/education/educational_institution/students_graduates./education/education/major_field_of_study,89,89
/m/01qdmh,/m/09c7w0,/film/film/country,/film/film/country,/film/film/country
/m/02kcz,/m/0b6css,/organization/organization_member/member_of./organization/organization_membership/organization,231,231
/m/065ym0c,/m/01rbb,/film/film/genre,/film/film/genre,/film/film/genre
/m/01pq4w,/m/029b9k,/education/educational_institution/students_graduates./education/education/student,23,23
/m/0gnbw,/m/07cbcy,/award/award_nominee/award_nominations./award/award_nomination/award,10,10
/m/033tf_,/m/06s6hs,/people/ethnicity/people,/people/ethnicity/people,/people/ethnicity/people
/m/04f6df0,/m/029j_,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,188,188
/m/02qwg,/m/02sgy,/music/artist/track_contributions./music/track_contribution/role,119,119
/m/028tv0,/m/0394y,/music/performance_role/regular_performances./music/group_membership/group,20,20
/m/03wjb7,/m/0l15bq,/music/artist/contribution./music/recording_contribution/performance_role,51,51
/m/01vtmw6,/m/01bgqh,/award/award_nominee/award_nominations./award/award_nomination/award,126,126
/m/03vrv9,/m/02ntb8,/film/actor/film./film/performance/film,83,83
/m/0symg,/m/0m2l9,/film/film/music,/film/film/music,/film/film/music
/m/0mpbx,/m/02hcv8,/location/location/time_zones,198,198
/m/02wtp6,/m/07ssc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,115,115
/m/02ldmw,/m/05qjc,/education/educational_institution/students_graduates./education/education/major_field_of_study,89,89
/m/0736qr,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union,127,127
/m/0bkj86,/m/037fqp,/education/educational_degree/people_with_this_degree./education/education/institution,106,106
/m/01gzm2,/m/0d8qb,/people/person/profession,/people/person/profession,/people/person/profession
/m/02snj9,/m/018vs,/music/performance_role/regular_performances./music/group_membership/role,/music/instrument/family,/music/instrument/family
/m/069_0y,/m/02jknp,/people/person/profession,/people/person/profession,/people/person/profession
/m/04ztj,/m/0d1y7,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,/people/person/spouse_s./people/marriage/location_of_ceremony,/people/person/spouse_s./people/marriage/location_of_ceremony
/m/022fj_,/m/05fyss,/education/educational_institution/students_graduates./education/education/student,23,23
/m/02nzb8,/m/07sqbl,/sports/sports_position/players./sports/sports_team_roster/team,55,55
/m/01f85k,/m/05r4w,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
/m/063_j5,/m/0dxtw,/film/film/other_crew./film/film_crew_gig/film_crew_role,112,112
/m/03xq0f,/m/02f6g5,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,200,200
/m/01cwm1,/m/083jv,/sports/sports_team/colors,/sports/sports_team/colors,/sports/sports_team/colors
/m/05lb65,/m/030znt,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor
/m/0blq0z,/m/0279c15,/award/award_nominee/award_nominations./award/award_nomination/award,10,10
/m/0gqy2,/m/04j13sx,/award/award_category/nominees./award/award_nomination/nominated_for,10.,10
/m/014mlp,/m/027ydt,/education/educational_degree/people_with_this_degree./education/education/institution,106,106
/m/0bl60p,/m/05zppz,/people/person/gender,149,149
/m/0k611,/m/02jxbw,/award/award_category/nominees./award/award_nomination/nominated_for,109,109
/m/02p65p,/m/02x8n1n,/award/award_nominee/award_nominations./award/award_nomination/award,10,10
/m/025mb_,/m/0cqgl9,/award/award_nominee/award_nominations./award/award_nomination/award,11,11
/m/03q0r1,/m/0jgd,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
/m/0jdx,/m/018wl5,/location/country/form_of_government,184,184
/m/06jcc,/m/0hky,/influence/influence_node/influenced_by,174,174
/m/03yvf2,/m/03h64,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/featured_film_locations,/film/film/featured_film_locations
/m/0jz9f,/m/0f4_l,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,200,200
/m/0407yfx,/m/047yc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/m/06x76,/m/01g5v,/sports/sports_team/colors,/sports/sports_team/colors,/sports/sports_team/colors
/m/01f1r4,/m/04rjg,/education/educational_institution/students_graduates./education/education/major_field_of_study,93,93
