Original_Index,Head,Tail,True_Relation,Model_Raw_Output,Parsed_Prediction
0,/m/010xjr,/m/01c92g,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
1,/m/060c4,/m/05g76,/business/job_title/people_with_this_title./business/employment_tenure/company,**Predicted Relation:** /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school
2,/m/0ggbfwf,/m/02h40lc,/film/film/language,**Predicted Relation:** /film/film/country./location/country/official_language,/film/film/country./location/country/official_language
3,/m/04jwjq,/m/02l7c8,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
4,/m/027r8p,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union,**Predicted Relation:** /people/person/spouse_s./people/marriage/type_of_union,/people/person/spouse_s./people/marriage/type_of_union
5,/m/03ftmg,/m/08mbj5d,/common/topic/webpage./common/webpage/category,**Predicted Relation:** /common/topic/webpage./common/webpage/category,/common/topic/webpage./common/webpage/category
6,/m/01pq4w,/m/029b9k,/education/educational_institution/students_graduates./education/education/student,**Predicted Relation:** /people/person/nationality,/people/person/nationality
7,/m/09txzv,/m/033smt,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
8,/m/09146g,/m/04gzd,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
9,/m/02g839,/m/03mszl,/education/educational_institution/students_graduates./education/education/student,**Predicted Relation:** /music/genre/artists,/music/genre/artists
10,/m/01k23t,/m/08mbj5d,/common/topic/webpage./common/webpage/category,**Predicted Relation:** /music/artist/official_website,/music/artist/official_website
11,/m/0p9sw,/m/073hd1,/award/award_category/winners./award/award_honor/ceremony,**Predicted Relation:** /award/award_category/nominees./award/award_nomination/nominated_for,/award/award_category/nominees./award/award_nomination/nominated_for
12,/m/0123qq,/m/0fdjb,/tv/tv_program/genre,**Predicted Relation:** /tv/tv_program/genre,/tv/tv_program/genre
13,/m/0257__,/m/0gpjbt,/award/award_category/winners./award/award_honor/ceremony,**Predicted Relation:** /award/award_category/winners./award/award_honor/ceremony,/award/award_category/winners./award/award_honor/ceremony
14,/m/0d060g,/m/01f1jy,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,**Predicted Relation:** /olympics/olympic_games/participating_countries,/olympics/olympic_games/participating_countries
15,/m/02x2jl_,/m/02qfv5d,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
16,/m/0gqy2,/m/04j13sx,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_category/winners./award/award_honor/award_winner,/award/award_category/winners./award/award_honor/award_winner
17,/m/085h1,/m/04wgh,/user/ktrueman/default_domain/international_organization/member_states,**Predicted Relation:** /user/ktrueman/default_domain/international_organization/member_states,/user/ktrueman/default_domain/international_organization/member_states
18,/m/02qwg,/m/02sgy,/music/artist/track_contributions./music/track_contribution/role,**Predicted Relation:** /music/artist/contribution./music/recording_contribution/performance_role,/music/artist/contribution./music/recording_contribution/performance_role
19,/m/099tbz,/m/020bv3,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_category/nominees./award/award_nomination/nominated_for,/award/award_category/nominees./award/award_nomination/nominated_for
