Head,Relation,Tail
04379243,_has_part,04381994
07705931,_hypernym,13134947
01548301,_hypernym,01547832
02909870,_hypernym,04531098
04433585,_hypernym,02886599
12969670,_hypernym,12969131
03049457,_has_part,04190052
10498046,_derivationally_related_form,01889129
09960688,_hypernym,09878275
01665541,_hypernym,01663401
12202936,_hypernym,13104059
10024362,_hypernym,00007846
03820318,_hypernym,03442756
07560903,_hypernym,07560652
12321395,_hypernym,12320010
07619881,_hypernym,07566340
12166128,_hypernym,12157769
02023992,_derivationally_related_form,03386011
10583387,_hypernym,10314952
11879722,_hypernym,11878283
07560903,_derivationally_related_form,10012484
02975212,_hypernym,03094503
13194036,_hypernym,13193642
03120778,_hypernym,04105893
08972521,_member_of_domain_region,10525878
03450018,_hypernym,03096960
02460684,_member_meronym,02460817
00567044,_synset_domain_topic_of,00479887
01643092,_member_meronym,01643255
01745722,_derivationally_related_form,04004767
03196324,_hypernym,03082979
01190277,_derivationally_related_form,09782167
02064608,_member_meronym,02065407
06295235,_member_of_domain_usage,03688192
03804744,_has_part,03501288
10012484,_derivationally_related_form,07560903
10404426,_hypernym,10703692
08860123,_member_of_domain_region,10525878
03089121,_derivationally_related_form,02475078
07763290,_hypernym,07705931
12195965,_member_meronym,12196129
02873623,_hypernym,02944826
12406715,_hypernym,12405714
00509039,_synset_domain_topic_of,03082979
01884348,_member_meronym,01884476
02579447,_derivationally_related_form,10419047
01551871,_derivationally_related_form,10566072
02708224,_hypernym,03082979
02895154,_hypernym,02740764
04029734,_hypernym,04421872
